Stock,Sector,Industry
CMG,Services,Restaurants
XBI,Financial,Exchange Traded Fund
YUM,Services,Restaurants
WBA,Services,Drug Stores
MGM,Services,Resorts &amp; Casinos
OIH,Financial,Exchange Traded Fund
XLV,Financial,Exchange Traded Fund
PG,Consumer Goods,Personal Products
LNKD,Technology,Internet Information Providers
DE,Industrial Goods,Farm &amp; Construction Machinery
CMCSA,Services,Entertainment - Diversified
ETE,Basic Materials,Oil &amp; Gas Pipelines
CRM,Technology,Application Software
BX,Financial,Asset Management
WFM,Services,Grocery Stores
EBAY,Services,Specialty Retail
AMBA,Technology,Semiconductor Equipment &amp; Materials
NVDA,Technology,Semiconductor - Specialized
SVXY,Financial,Exchange Traded Fund
SPLS,Services,Specialty Retail
LULU,Consumer Goods,Textile - Apparel Clothing
DD,Basic Materials,Agricultural Chemicals
AMAT,Technology,Semiconductor Equipment &amp; Materials
BP,Basic Materials,Major Integrated Oil &amp; Gas
AMGN,Healthcare,Biotechnology
POT,Basic Materials,Agricultural Chemicals
UPS,Services,Air Delivery &amp; Freight Services
UA,Consumer Goods,Textile - Apparel Clothing
TCK,Basic Materials,Industrial Metals &amp; Minerals
XRT,Financial,Exchange Traded Fund
ABBV,Healthcare,Drug Manufacturers - Major
GLW,Technology,Diversified Electronics
WFT,Basic Materials,Oil &amp; Gas Equipment &amp; Services
UAL,Services,Major Airlines
RSX,Financial,Exchange Traded Fund
BMY,Healthcare,Drug Manufacturers - Major
WTW,Services,Personal Services
XLB,Financial,Exchange Traded Fund
GG,Basic Materials,Gold
PYPL,Financial,Credit Services
HTZ,Services,Rental &amp; Leasing Services
CBS,Services,Entertainment - Diversified
MRO,Basic Materials,Independent Oil &amp; Gas
ODP,Services,Specialty Retail
EOG,Basic Materials,Independent Oil &amp; Gas
AXP,Financial,Credit Services
FAS,Financial,Exchange Traded Fund
TEVA,Healthcare,Drug Manufacturers - Other
TNA,Financial,Exchange Traded Fund
APC,Basic Materials,Independent Oil &amp; Gas
SWKS,Technology,Semiconductor - Integrated Circuits
NEM,Basic Materials,Gold
WMB,Basic Materials,Oil &amp; Gas Pipelines
MDLZ,Consumer Goods,Confectioners
XLU,Financial,Exchange Traded Fund
BBY,Services,Electronics Stores
S,Technology,Wireless Communications
TXN,Technology,Semiconductor - Broad Line
FDX,Services,Air Delivery &amp; Freight Services
ATVI,Technology,Multimedia &amp; Graphics Software
LUV,Services,Regional Airlines
AVGO,Technology,Semiconductor - Broad Line
LNG,Basic Materials,Oil &amp; Gas Pipelines
TBT,Financial,Exchange Traded Fund
COST,Services,Discount
MON,Basic Materials,Agricultural Chemicals
NUGT,Financial,Exchange Traded Fund
CNX,Basic Materials,Independent Oil &amp; Gas
HLF,Consumer Goods,Personal Products
ESRX,Healthcare,Health Care Plans
XLY,Financial,Exchange Traded Fund
SDRL,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
XHB,Financial,Exchange Traded Fund
PM,Consumer Goods,Cigarettes
BIIB,Healthcare,Biotechnology
UNP,Services,Railroads
EWJ,Financial,Exchange Traded Fund
UTX,Industrial Goods,Aerospace/Defense Products &amp; Services
CSX,Services,Railroads
MET,Financial,Life Insurance
TAP,Consumer Goods,Beverages - Brewers
UNH,Healthcare,Health Care Plans
NCR,Technology,Information Technology Services
NXPI,Technology,Semiconductor - Broad Line
EUO,Financial,Exchange Traded Fund
MO,Consumer Goods,Cigarettes
HUN,Basic Materials,Chemicals - Major Diversified
WLL,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
APA,Basic Materials,Independent Oil &amp; Gas
CVS,Healthcare,Health Care Plans
XLK,Financial,Exchange Traded Fund
VIPS,Services,Catalog &amp; Mail Order Houses
SLW,Basic Materials,Silver
LLY,Healthcare,Drug Manufacturers - Major
TSO,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
CLF,Basic Materials,Industrial Metals &amp; Minerals
MA,Financial,Credit Services
MDT,Healthcare,Medical Appliances &amp; Equipment
SKX,Consumer Goods,Textile - Apparel Footwear &amp; Accessories
PEP,Consumer Goods,Beverages - Soft Drinks
KRE,Financial,Exchange Traded Fund
ZIOP,Healthcare,Biotechnology
PANW,Technology,Networking &amp; Communication Devices
ADBE,Technology,Application Software
HZNP,Healthcare,Drugs - Generic
NOK,Technology,Communication Equipment
FSLR,Technology,Semiconductor - Specialized
STX,Technology,Data Storage Devices
AET,Healthcare,Health Care Plans
MBLY,Technology,Application Software
OXY,Basic Materials,Independent Oil &amp; Gas
SIRI,Services,Broadcasting - Radio
EA,Technology,Multimedia &amp; Graphics Software
ETP,Basic Materials,Oil &amp; Gas Pipelines
XME,Financial,Exchange Traded Fund
XRX,Technology,Information Technology Services
EXPE,Services,Lodging
SWN,Basic Materials,Independent Oil &amp; Gas
SMH,Financial,Exchange Traded Fund
HEDJ,Financial,Exchange Traded Fund
CBI,Industrial Goods,General Contractors
AMLP,Financial,Exchange Traded Fund
KR,Services,Grocery Stores
DDD,Technology,Computer Peripherals
WDC,Technology,Data Storage Devices
AKS,Basic Materials,Steel &amp; Iron
KORS,Consumer Goods,Textile - Apparel Clothing
LOW,Services,Home Improvement Stores
ANF,Services,Apparel Stores
TWX,Services,Entertainment - Diversified
FTR,Technology,Telecom Services - Domestic
GPS,Services,Apparel Stores
ACAS,Financial,Asset Management
NE,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
DUST,Financial,Exchange Traded Fund
JBLU,Services,Regional Airlines
AUY,Basic Materials,Gold
AMJ,Financial,Exchange Traded Fund
JOY,Industrial Goods,Farm &amp; Construction Machinery
VMW,Technology,Technical &amp; System Software
GSK,Healthcare,Drug Manufacturers - Major
SGMS,Services,Gaming Activities
MOS,Basic Materials,Agricultural Chemicals
YELP,Technology,Internet Information Providers
EPD,Basic Materials,Independent Oil &amp; Gas
HOG,Consumer Goods,Recreational Vehicles
BHI,Basic Materials,Oil &amp; Gas Equipment &amp; Services
MBI,Financial,Property &amp; Casualty Insurance
ADSK,Technology,Technical &amp; System Software
FL,Consumer Goods,Textile - Apparel Footwear &amp; Accessories
UCO,Financial,Exchange Traded Fund
ZNGA,Technology,Multimedia &amp; Graphics Software
WY,Industrial Goods,Lumber
MMM,Industrial Goods,Diversified Machinery
TZA,Financial,Exchange Traded Fund
MAT,Consumer Goods,Toys &amp; Games
ASNA,Services,Apparel Stores
XLNX,Technology,Semiconductor - Integrated Circuits
COH,Consumer Goods,Textile - Apparel Footwear &amp; Accessories
GME,Services,Electronics Stores
TSN,Consumer Goods,Meat Products
JWN,Services,Apparel Stores
PSX,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
JNPR,Technology,Networking &amp; Communication Devices
USB,Financial,Regional - Midwest Banks
SCHW,Financial,Investment Brokerage - National
VNET,Technology,Information Technology Services
DVN,Basic Materials,Independent Oil &amp; Gas
OAS,Basic Materials,Independent Oil &amp; Gas
EPI,Financial,Exchange Traded Fund
CRUS,Technology,Semiconductor - Specialized
MRVL,Technology,Semiconductor - Integrated Circuits
SEAS,Services,Sporting Activities
XLP,Financial,Exchange Traded Fund
COG,Basic Materials,Independent Oil &amp; Gas
VIAB,Services,Entertainment - Diversified
CY,Technology,Semiconductor - Broad Line
CTRP,Services,Lodging
DHI,Industrial Goods,Residential Construction
XPO,Services,Air Delivery &amp; Freight Services
OPK,Healthcare,Biotechnology
PXD,Basic Materials,Independent Oil &amp; Gas
RRC,Basic Materials,Independent Oil &amp; Gas
HRB,Services,Personal Services
NFX,Basic Materials,Independent Oil &amp; Gas
GRPN,Technology,Internet Information Providers
EWY,Financial,Exchange Traded Fund
BAX,Healthcare,Medical Instruments &amp; Supplies
PRGO,Healthcare,Drug Related Products
FCAU,Consumer Goods,Auto Manufacturers - Major
KBH,Industrial Goods,Residential Construction
CMI,Industrial Goods,Diversified Machinery
BUD,Consumer Goods,Beverages - Brewers
PTCT,Healthcare,Biotechnology
GDXJ,Financial,Exchange Traded Fund
TMUS,Technology,Wireless Communications
ABT,Healthcare,Medical Appliances &amp; Equipment
MXIM,Technology,Semiconductor - Broad Line
AVP,Consumer Goods,Personal Products
HON,Industrial Goods,Diversified Machinery
GNW,Financial,Life Insurance
SSO,Financial,Exchange Traded Fund
HPE,Technology,Diversified Computer Systems
A,Healthcare,Medical Laboratories &amp; Research
BHP,Basic Materials,Industrial Metals &amp; Minerals
LL,Services,Home Improvement Stores
AEM,Basic Materials,Gold
BKD,Healthcare,Long-Term Care Facilities
CF,Basic Materials,Agricultural Chemicals
ZTS,Healthcare,Drugs - Generic
MPC,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
AKAM,Technology,Internet Information Providers
CREE,Technology,Semiconductor Equipment &amp; Materials
CIEN,Technology,Communication Equipment
CLR,Basic Materials,Independent Oil &amp; Gas
NRF,Financial,REIT - Retail
SU,Basic Materials,Independent Oil &amp; Gas
ALLY,Financial,Mortgage Investment
TERP,Utilities,Diversified Utilities
LC,Financial,Credit Services
VOD,Technology,Wireless Communications
SPXS,Financial,Exchange Traded Fund
NAV,Consumer Goods,Trucks &amp; Other Vehicles
EMR,Industrial Goods,Industrial Electrical Equipment
ERX,Financial,Exchange Traded Fund
CTL,Technology,Telecom Services - Domestic
ESV,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
SRPT,Healthcare,Biotechnology
PRU,Financial,Life Insurance
OIL,Financial,Exchange Traded Fund
LYB,Basic Materials,Specialty Chemicals
MT,Basic Materials,Steel &amp; Iron
LRCX,Technology,Semiconductor Equipment &amp; Materials
FOXA,Services,Entertainment - Diversified
TIF,Services,Jewelry Stores
EXC,Utilities,Diversified Utilities
TRIP,Technology,Internet Information Providers
HES,Basic Materials,Independent Oil &amp; Gas
THC,Healthcare,Hospitals
JBL,Technology,Printed Circuit Boards
CMA,Financial,Money Center Banks
LOCK,Technology,Application Software
MPEL,Services,Resorts &amp; Casinos
RAI,Consumer Goods,Cigarettes
PAA,Basic Materials,Oil &amp; Gas Pipelines
IP,Consumer Goods,Packaging &amp; Containers
TQQQ,Financial,Exchange Traded Fund
DB,Financial,Foreign Regional Banks
INVN,Technology,Semiconductor - Integrated Circuits
OLN,Basic Materials,Specialty Chemicals
DLTR,Services,Discount
SQQQ,Financial,Exchange Traded Fund
GLNG,Services,Shipping
HLT,Services,Lodging
KKR,Financial,Asset Management
KSS,Services,Department Stores
TJX,Services,Department Stores
NTAP,Technology,Data Storage Devices
FXY,Financial,Exchange Traded Fund
AEO,Services,Apparel Stores
SINA,Technology,Internet Software &amp; Services
GGP,Financial,REIT - Retail
RH,Services,Home Furnishing Stores
REGN,Healthcare,Biotechnology
CX,Industrial Goods,Cement
CME,Financial,Investment Brokerage - National
OCN,Financial,Mortgage Investment
HCA,Healthcare,Hospitals
CCL,Services,Resorts &amp; Casinos
DISH,Services,CATV Systems
JNK,Financial,Exchange Traded Fund
NOV,Basic Materials,Oil &amp; Gas Equipment &amp; Services
CSIQ,Technology,Semiconductor - Specialized
LMT,Industrial Goods,Aerospace/Defense Products &amp; Services
ENDP,Healthcare,Drug Manufacturers - Other
HFC,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
CTSH,Technology,Business Software &amp; Services
HIMX,Technology,Semiconductor - Specialized
JCI,Consumer Goods,Auto Parts
SO,Utilities,Electric Utilities
CL,Consumer Goods,Personal Products
EWW,Financial,Exchange Traded Fund
RAX,Technology,Information Technology Services
FFIV,Technology,Business Software &amp; Services
SPLK,Technology,Application Software
ZOES,Services,Restaurants
RF,Financial,Regional - Southeast Banks
MNK,Healthcare,Drugs - Generic
ADI,Technology,Semiconductor - Integrated Circuits
SPWR,Technology,Semiconductor - Specialized
EWT,Financial,Exchange Traded Fund
MAR,Services,Lodging
APD,Basic Materials,Chemicals - Major Diversified
TASR,Industrial Goods,Aerospace/Defense Products &amp; Services
WDAY,Technology,Application Software
KHC,Consumer Goods,Food - Major Diversified
FOSL,Consumer Goods,Textile - Apparel Footwear &amp; Accessories
TSM,Technology,Semiconductor - Integrated Circuits
ULTA,Services,Specialty Retail
ILMN,Healthcare,Biotechnology
NTES,Technology,Internet Software &amp; Services
IEF,Financial,Exchange Traded Fund
BBBY,Services,Home Furnishing Stores
ROST,Services,Apparel Stores
DG,Services,Discount
CHTR,Services,CATV Systems
GNC,Services,Drug Stores
DATA,Technology,Application Software
HIG,Financial,Property &amp; Casualty Insurance
NRG,Utilities,Diversified Utilities
MNST,Consumer Goods,Beverages - Soft Drinks
CCE,Consumer Goods,Beverages - Soft Drinks
URBN,Services,Apparel Stores
CAG,Consumer Goods,Processed &amp; Packaged Goods
STRP,Technology,Diversified Communication Services
SFUN,Technology,Internet Information Providers
ETN,Industrial Goods,Diversified Machinery
GIS,Consumer Goods,Processed &amp; Packaged Goods
RIO,Basic Materials,Industrial Metals &amp; Minerals
ECA,Basic Materials,Major Integrated Oil &amp; Gas
EWG,Financial,Exchange Traded Fund
YNDX,Technology,Internet Information Providers
AGO,Financial,Surety &amp; Title Insurance
GT,Consumer Goods,Rubber &amp; Plastics
MDY,Financial,Exchange Traded Fund
COF,Financial,Credit Services
NSC,Services,Railroads
DECK,Consumer Goods,Textile - Apparel Footwear &amp; Accessories
PHM,Industrial Goods,Residential Construction
URI,Services,Rental &amp; Leasing Services
ADM,Consumer Goods,Farm Products
SHAK,Services,Specialty Eateries
MPLX,Basic Materials,Oil &amp; Gas Pipelines
CC,Basic Materials,Specialty Chemicals
ACN,Technology,Information Technology Services
DEO,Consumer Goods,Beverages - Wineries &amp; Distillers
SWHC,Industrial Goods,Aerospace/Defense Products &amp; Services
QUNR,Services,General Entertainment
PLUG,Technology,Diversified Electronics
LEN,Industrial Goods,Residential Construction
WPZ,Basic Materials,Oil &amp; Gas Pipelines
TOL,Industrial Goods,Residential Construction
VFC,Consumer Goods,Textile - Apparel Clothing
CAR,Services,Rental &amp; Leasing Services
BURL,Services,Discount
LLTC,Technology,Semiconductor - Specialized
RCL,Services,Resorts &amp; Casinos
EWA,Financial,Exchange Traded Fund
INFN,Technology,Communication Equipment
SGMO,Healthcare,Biotechnology
W,Services,Catalog &amp; Mail Order Houses
CYBR,Technology,Business Software &amp; Services
RTRX,Healthcare,Drug Manufacturers - Major
NVAX,Healthcare,Biotechnology
OUTR,Services,Specialty Retail
FAZ,Financial,Exchange Traded Fund
Z,Financial,Property Management
XON,Healthcare,Biotechnology
TSL,Technology,Semiconductor - Specialized
APOL,Services,Education &amp; Training Services
NUE,Basic Materials,Steel &amp; Iron
ETFC,Financial,Investment Brokerage - National
DRI,Services,Restaurants
DKS,Services,Sporting Goods Stores
NOC,Industrial Goods,Aerospace/Defense - Major Diversified
ITUB,Financial,Foreign Regional Banks
NOW,Technology,Information Technology Services
VNQ,Financial,Exchange Traded Fund
MJN,Consumer Goods,Processed &amp; Packaged Goods
NUS,Consumer Goods,Personal Products
SHLD,Services,Department Stores
NAT,Services,Shipping
GRUB,Technology,Internet Information Providers
BMRN,Healthcare,Biotechnology
SLCA,Basic Materials,Industrial Metals &amp; Minerals
QID,Financial,Exchange Traded Fund
ARIA,Healthcare,Biotechnology
LB,Services,Apparel Stores
DHR,Industrial Goods,Diversified Machinery
PAYX,Services,Staffing &amp; Outsourcing Services
AFL,Financial,Accident &amp; Health Insurance
QRVO,Technology,Semiconductor - Broad Line
CPN,Utilities,Electric Utilities
TRN,Services,Railroads
KMX,Services,Auto Dealerships
CMCM,Technology,Application Software
WHR,Consumer Goods,Appliances
BSX,Healthcare,Medical Appliances &amp; Equipment
NBR,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
GOGO,Technology,Diversified Communication Services
FEZ,Financial,Exchange Traded Fund
NLY,Financial,REIT - Diversified
CLVS,Healthcare,Biotechnology
WWAV,Consumer Goods,Food - Major Diversified
ITB,Financial,Exchange Traded Fund
SE,Basic Materials,Oil &amp; Gas Pipelines
NUAN,Technology,Application Software
MAS,Industrial Goods,General Building Materials
BOFI,Financial,Savings &amp; Loans
CALM,Consumer Goods,Food - Major Diversified
SCO,Financial,Exchange Traded Fund
BLUE,Healthcare,Biotechnology
AEP,Utilities,Electric Utilities
HAS,Consumer Goods,Toys &amp; Games
BK,Financial,Asset Management
KSU,Services,Railroads
HBI,Consumer Goods,Textile - Apparel Clothing
KGC,Basic Materials,Gold
KEY,Financial,Regional - Midwest Banks
HSY,Consumer Goods,Confectioners
DFS,Financial,Credit Services
YPF,Basic Materials,Major Integrated Oil &amp; Gas
SYMC,Technology,Security Software &amp; Services
RTN,Industrial Goods,Aerospace/Defense Products &amp; Services
SBGI,Services,Broadcasting - TV
HST,Financial,REIT - Hotel/Motel
WU,Financial,Credit Services
FAST,Services,Industrial Equipment Wholesale
PII,Consumer Goods,Recreational Vehicles
BBT,Financial,Regional - Southeast Banks
EWC,Financial,Exchange Traded Fund
LGF,Services,Movie Production
FTK,Basic Materials,Oil &amp; Gas Equipment &amp; Services
SPXU,Financial,Exchange Traded Fund
CEMP,Healthcare,Biotechnology
FITB,Financial,Regional - Midwest Banks
EVEP,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
PTEN,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
AGNC,Financial,REIT - Residential
CYH,Healthcare,Hospitals
BEN,Financial,Asset Management
SAVE,Services,Major Airlines
SYY,Services,Food Wholesale
SWFT,Services,Trucking
XCO,Basic Materials,Independent Oil &amp; Gas
WSM,Services,Home Furnishing Stores
SAN,Financial,Foreign Money Center Banks
MTW,Industrial Goods,Farm &amp; Construction Machinery
KNDI,Consumer Goods,Auto Manufacturers - Major
BZH,Industrial Goods,Residential Construction
HL,Basic Materials,Silver
KATE,Consumer Goods,Textile - Apparel Clothing
NQ,Technology,Application Software
DUK,Utilities,Electric Utilities
CTXS,Technology,Business Software &amp; Services
SVU,Services,Grocery Stores
DEPO,Healthcare,Drug Manufacturers - Other
MDR,Basic Materials,Oil &amp; Gas Equipment &amp; Services
RHT,Technology,Application Software
WETF,Financial,Asset Management
KERX,Healthcare,Biotechnology
SCCO,Basic Materials,Copper
CNQ,Basic Materials,Independent Oil &amp; Gas
DNKN,Services,Restaurants
OC,Industrial Goods,General Building Materials
FE,Utilities,Electric Utilities
HP,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
RGLD,Basic Materials,Gold
AMT,Financial,REIT - Diversified
SYNA,Technology,Application Software
HA,Services,Regional Airlines
AU,Basic Materials,Gold
DO,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
CONN,Services,Electronics Stores
JUNO,Healthcare,Biotechnology
KLAC,Technology,Semiconductor Equipment &amp; Materials
SPXL,Financial,Exchange Traded Fund
CCJ,Basic Materials,Industrial Metals &amp; Minerals
BWLD,Services,Restaurants
ARRY,Healthcare,Biotechnology
PPC,Consumer Goods,Food - Major Diversified
JMEI,Services,Specialty Retail
CLDX,Healthcare,Biotechnology
BID,Services,Specialty Retail
SSYS,Technology,Computer Peripherals
RL,Consumer Goods,Textile - Apparel Clothing
HSBC,Financial,Foreign Money Center Banks
RMBS,Technology,Semiconductor- Memory Chips
SPG,Financial,REIT - Retail
FIVE,Services,Specialty Retail
INSY,Healthcare,Biotechnology
UBNT,Technology,Wireless Communications
HRTX,Healthcare,Drug Manufacturers - Major
UPRO,Financial,Exchange Traded Fund
ALK,Services,Regional Airlines
VNR,Basic Materials,Oil &amp; Gas Drilling &amp; Exploration
IBN,Financial,Money Center Banks
FTNT,Technology,Application Software
EXEL,Healthcare,Biotechnology
ANTM,Healthcare,Health Care Plans
EXAS,Healthcare,Medical Laboratories &amp; Research
NSAM,Financial,REIT - Retail
FOLD,Healthcare,Biotechnology
POST,Consumer Goods,Food - Major Diversified
WPX,Basic Materials,Independent Oil &amp; Gas
LBTYK,Services,CATV Systems
GNRC,Industrial Goods,Diversified Machinery
K,Consumer Goods,Processed &amp; Packaged Goods
AER,Services,Air Services
LOCO,Services,Restaurants
ABEV,Consumer Goods,Beverages - Brewers
YRCW,Services,Trucking
LUK,Financial,Investment Brokerage - National
AMTD,Financial,Investment Brokerage - National
ISRG,Healthcare,Medical Appliances &amp; Equipment
HOLX,Healthcare,Medical Appliances &amp; Equipment
AKRX,Healthcare,Drugs - Generic
EROS,Services,Movie Production
BCS,Financial,Foreign Money Center Banks
CVRR,Basic Materials,Oil &amp; Gas Refining &amp; Marketing
TER,Technology,Semiconductor Equipment &amp; Materials
EMES,Basic Materials,Oil &amp; Gas Equipment &amp; Services
CBOE,Financial,Diversified Investments
BDSI,Healthcare,Biotechnology
CZR,Services,Resorts &amp; Casinos
PNC,Financial,Money Center Banks
ACAD,Healthcare,Biotechnology
ALXN,Healthcare,Biotechnology
EL,Consumer Goods,Personal Products
BV,Technology,Application Software
VWO,Financial,Exchange Traded Fund
TRV,Financial,Property &amp; Casualty Insurance
IDTI,Technology,Semiconductor - Broad Line
ARWR,Healthcare,Biotechnology
FRO,Services,Shipping
LPI,Basic Materials,Independent Oil &amp; Gas
OLED,Technology,Semiconductor Equipment &amp; Materials
INCY,Healthcare,Biotechnology
CI,Healthcare,Health Care Plans
FLR,Industrial Goods,Heavy Construction
NMBL,Technology,Data Storage Devices
JKS,Technology,Semiconductor - Specialized
AZO,Services,Auto Parts Stores
NBIX,Healthcare,Drugs - Generic
AZN,Healthcare,Drug Manufacturers - Major
IWO,Financial,Exchange Traded Fund
VTL,Healthcare,Biotechnology
MTG,Financial,Property &amp; Casualty Insurance
AAP,Services,Auto Parts Stores
BWP,Basic Materials,Oil &amp; Gas Pipelines
DNR,Basic Materials,Independent Oil &amp; Gas
GRMN,Technology,Scientific &amp; Technical Instruments
GOLD,Basic Materials,Gold
LPX,Services,Building Materials Wholesale
STI,Financial,Money Center Banks
BOX,Technology,Application Software
ZG,Financial,Property Management
TMO,Healthcare,Medical Laboratories &amp; Research
GLUU,Technology,Multimedia &amp; Graphics Software
HAIN,Services,Food Wholesale
LQD,Financial,Exchange Traded Fund
ABC,Services,Drugs Wholesale
ELLI,Technology,Application Software
THS,Consumer Goods,Processed &amp; Packaged Goods
PPL,Utilities,Electric Utilities
H,Services,Lodging
SNE,Consumer Goods,Electronic Equipment
CAB,Services,Sporting Goods Stores
HUM,Healthcare,Health Care Plans
BYD,Services,Resorts &amp; Casinos
FLEX,Technology,Printed Circuit Boards
GERN,Healthcare,Biotechnology
RDUS,Healthcare,Biotechnology
EGO,Basic Materials,Gold
BCEI,Basic Materials,Independent Oil &amp; Gas
CS,Financial,Foreign Money Center Banks
LBTYA,Services,CATV Systems
NWBO,Healthcare,Biotechnology
BIB,Financial,Exchange Traded Fund
USG,Industrial Goods,General Building Materials
FDN,Financial,Exchange Traded Fund
EW,Healthcare,Medical Appliances &amp; Equipment
VMC,Industrial Goods,General Building Materials
MUR,Basic Materials,Independent Oil &amp; Gas
CIE,Basic Materials,Independent Oil &amp; Gas
QSR,Services,Restaurants
SSRI,Basic Materials,Silver
MCK,Services,Drugs Wholesale
EIX,Utilities,Electric Utilities
MMP,Basic Materials,Oil &amp; Gas Pipelines
ATHN,Technology,Healthcare Information Services
YY,Technology,Internet Information Providers
THLD,Healthcare,Biotechnology
PH,Industrial Goods,Industrial Equipment &amp; Components
PIR,Services,Specialty Retail
PNRA,Services,Specialty Eateries
MEG,Services,Broadcasting - TV
DYN,Utilities,Electric Utilities
MLM,Industrial Goods,General Building Materials
NYRT,Financial,REIT - Office
CAH,Services,Drugs Wholesale
CIT,Financial,Credit Services
